Total Memory,Memory Reduction (b),Total Time,Time Reduction (s),Base Total Memory,Base Total Time (s)
22680,128,0.105531329,0.0009627370000000052,22808,0.106494066
18280,-16,0.105101336,-0.0007190456666666678,18264,0.10438229033333334
27384,-1248,0.068224466,0.0028063396666666574,26136,0.07103080566666665
10888,16,0.08686588499999999,0.0032545343333333365,10904,0.09012041933333333
25856,48,0.14955386066666668,0.002564351666666659,25904,0.15211821233333334
14232,-64,0.12962269766666668,-4.348666666681433e-06,14168,0.129618349
13288,16,0.2153935703333333,-0.001110392333333321,13304,0.214283178
12776,16,0.142890306,0.0015184449999999794,12792,0.14440875099999997
23864,64,0.114173843,0.0014377546666666657,23928,0.11561159766666666
36760,176,0.14765398433333332,0.0032519886666666775,36936,0.150905973
22856,80,0.10441041966666666,0.002023541666666684,22936,0.10643396133333334
9688,64,0.06394917366666668,-0.002699791000000014,9752,0.061249382666666664
23640,176,0.057230425333333335,0.0004038613333333316,23816,0.057634286666666666
16072,208,0.07981158433333334,0.0005200743333333147,16280,0.08033165866666665
30616,48,0.058374211,0.002305785666666657,30664,0.06067999666666666
32552,432,0.053789852,-0.000787160000000002,32984,0.053002692
34968,256,0.06104344233333333,0.0005775146666666675,35224,0.061620957
22872,0,0.06244455466666667,0.0014479073333333245,22872,0.063892462
22552,128,0.088979152,0.0025897449999999905,22680,0.091568897
21496,16,0.044135552,0.00020764499999999936,21512,0.044343197
31048,96,0.03688866233333333,-0.00045074866666666713,31144,0.03643791366666666
21896,128,0.04483441800000001,-0.0006446036666666738,22024,0.044189814333333334
12920,192,0.143119391,0.0004805673333332927,13112,0.1435999583333333
44720,96,0.05498013133333333,0.0006868050000000056,44816,0.05566693633333333
34680,256,0.10176815666666666,0.004079734666666668,34936,0.10584789133333333
19928,320,0.07862689533333334,0.001835250999999996,20248,0.08046214633333333
54392,128,0.03084666133333333,-0.0005848526666666631,54520,0.030261808666666667
17080,32,0.05117667966666667,0.000842446666666663,17112,0.05201912633333333
22552,80,0.048835000999999996,0.0007497536666666721,22632,0.04958475466666667
26856,128,0.042490345000000006,0.001380557666666657,26984,0.04387090266666666
19400,-48,0.04916575866666667,0.001570539333333322,19352,0.05073629799999999
44920,192,0.04370369066666666,-0.00033907666666666003,45112,0.043364614
20760,48,0.03860593166666667,-0.0005682076666666674,20808,0.038037724
26488,96,0.047348194333333336,-0.00042212066666666437,26584,0.04692607366666667
18632,144,0.035242695666666664,-0.0014048329999999942,18776,0.03383786266666667
36296,160,0.05252519033333333,0.000300595666666674,36456,0.052825786000000007
7960,64,0.027785135,0.0009849956666666687,8024,0.028770130666666668
32536,272,0.032773065,0.0013345240000000036,32808,0.034107589
29464,64,0.053075949000000004,0.0002919119999999914,29528,0.053367860999999996
22696,16,0.07443268133333333,0.0010210130000000012,22712,0.07545369433333333
31032,272,0.04181421266666666,0.0004685173333333348,31304,0.04228273
36248,192,0.054558718000000006,0.0013174133333333296,36440,0.055876131333333336
39720,432,0.05556186733333333,0.001435350333333349,40152,0.056997217666666676
20776,80,0.06743493966666667,0.001852321000000004,20856,0.06928726066666667
23544,176,0.054054103,0.0005519126666666679,23720,0.05460601566666667
39976,112,0.033508982,-0.0002487976666666683,40088,0.03326018433333333
46136,288,0.03920696766666667,-0.00022644900000000356,46424,0.038980518666666665
22488,64,0.08106587733333333,0.002229889666666679,22552,0.083295767
41944,336,0.117669384,0.0017448476666666601,42280,0.11941423166666666
19608,64,0.026872537666666668,0.0020537179999999995,19672,0.028926255666666668
27960,80,0.03414413733333333,0.0015874013333333353,28040,0.035731538666666667
45720,128,0.03568047033333333,-0.0002227793333333325,45848,0.035457691
23384,64,0.07335305933333335,0.0014652183333333235,23448,0.07481827766666667
14696,64,0.06431299733333333,0.0016214906666666695,14760,0.065934488
14360,64,0.068667554,0.00268114333333333,14424,0.07134869733333334
20352,128,0.045436836,0.0006774516666666688,20480,0.04611428766666667
20184,0,0.05382013866666666,-0.00016628066666666413,20184,0.053653858
10584,0,0.09870240333333334,0.0012241353333333344,10584,0.09992653866666668
19608,96,0.6209517076666667,0.01393376666666657,19704,0.6348854743333333
20216,32,0.06775084266666666,-3.9232000000000156e-05,20248,0.06771161066666666
14744,0,0.09869569066666667,-0.00043579066666667166,14744,0.0982599
11080,64,0.13047594433333334,-0.0012295756666666768,11144,0.12924636866666667
12968,-80,0.13906779766666666,0.0010585530000000176,12888,0.14012635066666668
13784,64,0.078849145,-0.00069124466666666,13848,0.07815790033333334
18440,16,0.07755796633333334,0.0028123743333333256,18456,0.08037034066666666
20952,112,0.05610389333333333,0.0009999966666666693,21064,0.05710389
17992,32,0.07640178166666667,0.0019947349999999975,18024,0.07839651666666667
